RAUMID,E_E
1011101,3445
1011102,188
1011103,5159
1011104,4626
1011105,1567
1011201,2456
1011202,654
1011203,1171
1011204,8461
1011301,6910
1011302,12540
1011303,10011
1011304,8813
1011305,8778
1011306,10831
1011401,18200
1011402,13640
1022101,3524
1022102,6809
1022103,295
1022104,18823
1022105,5365
1022106,11459
1022201,11048
1022202,3580
1022203,7150
1022204,6081
1022205,3316
1022206,3045
1022207,5822
1033101,26956
1033102,11853
1033201,14303
1033202,10509
1033203,14657
1044101,20929
1044102,16616
1044103,8809
1044201,24103
1044202,17188
1044203,16058
2010101,6482
2010102,13770
2010103,15183
2010104,5095
2020201,1860
2020202,6037
2020203,10965
2020204,12657
2020205,15140
2020206,18988
2030301,8893
2030302,13096
2030401,15168
2030402,11017
2040501,5427
2040502,7558
2040503,11351
2040701,13406
2040702,11314
2040703,1160
2050601,9268
2050602,21899
2050801,20636
2050802,21625
2050803,7719
2050804,4672
3010101,4259
3010102,12606
3010104,229
3020203,2064
3020209,15170
3020210,11472
3020307,18259
3030405,11444
3030406,8235
3030711,6875
3030715,7869
3030716,1120
3040508,4551
3040512,10354
3040513,3424
3040614,37024
3040818,35345
3050919,5140
3050920,7517
3050923,9762
3050924,6287
3050925,9822
3051017,4249
3051021,6591
3051022,4664
3061126,15939
3061131,10597
3061227,14641
3061228,12803
3061332,22757
3061429,10002
3061430,4055
3061434,6491
3061435,4020
3061441,2741
3071536,11281
3071537,15902
3071633,3196
3071638,17710
3071639,12868
4010101,10801
4010102,814
4010103,7964
4020204,189
4020205,1296
4020206,2896
4020207,2539
4020208,2978
4020209,3249
4020310,811
4020311,15119
4020312,5547
4020313,7249
4020314,9
4030415,3346
4030416,10593
4030417,10954
4030518,9561
4030519,5908
4030620,8928
4030621,3172
4030622,10910
4030623,5071
4030724,6576
4030725,12431
4030726,5735
4030827,12303
4030828,9671
4030929,6061
4030930,5736
4030931,3725
4031032,15756
4041133,106
4041134,5323
4041135,2811
4041136,3130
4041137,8338
4041238,6114
4041239,319
4041240,1544
4041241,7042
4041342,4200
4041343,3579
4041344,10771
4051445,6437
4051446,10980
4051447,5348
4051448,9342
4051549,4696
4051550,5690
4051551,4557
4051652,9945
4051653,7037
4051654,3081
4051655,7497
4051656,7739
4061757,68
5010101,10658
5010102,8438
5010103,7630
5010204,3584
5010205,2283
5010206,10738
5010207,11609
5010208,7705
5010209,6112
5010310,3953
5010311,5633
5010312,7463
5010313,6834
5010314,12366
5010339,972
5020415,3835
5020416,1703
5020417,5862
5020418,4395
5020419,7250
5020420,1027
5020521,3260
5020522,7636
5020523,12731
5020524,6292
5020625,7689
5020626,18244
5020627,4382
5020628,2022
5020629,4435
5030730,4064
5030731,11616
5030832,12327
5030833,504
5040934,3457
5040935,457
5040936,10142
5040937,2203
5040938,3686
6010101,6958
6010102,8835
6010103,6428
6010204,6873
6010205,9820
6010206,7787
6010207,8021
6010208,6867
6010209,9318
6010210,4896
6020301,5004
6020302,6083
6020303,7364
6020304,7261
6020305,11461
6020306,6393
6020407,4662
6020408,6971
6020409,8455
6020410,7097
6020411,8636
6030501,5760
6030502,5633
6030503,11807
6030504,11133
6030605,7133
6030606,5623
6030607,3148
6030608,13784
6030609,12206
6030610,8491
6040701,10334
6040702,5517
6040703,11178
6040804,7591
6040805,5298
6040806,7345
6040807,5971
6040808,4762
6040809,5007
6040810,7160
7010101,10138
7010102,16550
7010103,10542
7010104,13685
7020201,10620
7020202,10488
7020203,17904
7020204,12137
7030301,24771
7030302,9409
7030303,12248
7040401,17602
7040402,2312
7040403,24643
7040404,5153
7040405,11315
7040406,4069
7050501,17118
7050502,8225
7050503,9165
7050504,5693
7050505,10651
7050506,2254
7060601,10194
7060602,4792
7060603,2845
7060604,14506
7070701,10540
7070702,10925
7070703,8096
7070704,8521
7070705,7014
7070706,3866
7070707,2993
8010115,891
8010116,3677
8010117,16014
8010118,11833
8010211,9873
8010212,7385
8010213,12288
8010214,8439
8010301,27602
8010302,3880
8010303,8389
8010404,23433
8010405,8945
8010406,7148
8010407,798
8010508,5785
8010509,9299
8010510,478
8020619,11607
8020620,9269
8020621,2342
8020622,14334
8020623,1247
8020624,1402
8020625,3313
8020726,8410
8020727,11898
8020728,8837
8030829,12546
8030830,7258
8030831,17703
8040932,2826
8040933,4174
8040934,2653
8041035,8324
8041036,6814
8041037,9937
8041038,7067
8041039,3837
8041040,7962
9010101,12810
9010102,68
9010201,4378
9010202,6987
9010301,15730
9010302,3112
9010401,8444
9010402,11409
9020501,7575
9020502,15925
9020601,9268
9020602,3582
9020701,2913
9020702,17021
9020801,2957
9020802,8177
9030901,14125
9030902,5639
9030903,8161
9031001,13103
9031101,6784
9031201,1852
9031202,2572
9041301,10107
9041302,1907
9041401,5447
9041402,1558
9041403,4441
9041501,7294
9041601,6798
9051701,4094
9051702,15051
9051801,9523
9051901,11604
9052001,13273
10010101,5687
10010102,18471
10010203,1308
10010204,10616
10010205,8165
10010206,17293
10010207,10626
10010308,2214
10010309,14605
10010310,18340
10010311,3696
10020412,7230
10020413,16007
10020414,1728
10020415,5854
10020416,5654
10020517,9486
10020518,5318
10020519,6052
10020620,3379
10020621,6317
10020622,8547
10020623,6537
10030724,7820
10030725,6671
10030726,3494
10030727,10084
10040828,7800
10040829,3938
10040830,7670
10040931,9753
10040932,4295
10040933,15312
11010101,644
11010102,2620
11010103,1870
11010204,8985
11010205,7069
11010206,6127
11010207,7494
11010308,11760
11010309,9675
11010310,5727
11020411,9618
11020412,6825
11020513,3938
11020514,9729
11020515,14760
11020516,4109
11030617,6313
11030618,16629
11030619,11132
11030720,6406
11030721,25243
11030824,10109
11040925,4231
11040926,29596
11041022,5457
11041023,6739
11041027,3181
11041128,25967
11051229,4254
11051330,10218
11051331,10623
11051332,7153
12103115,7755
12103116,10059
12103117,10983
12103218,14069
12103219,8901
12103220,4624
12214125,7833
12214126,8132
12214421,2753
12214422,8304
12214423,5669
12214424,10792
12214527,11006
12214528,269
12224229,6004
12224230,18100
12231101,16607
12231102,16814
12301203,14999
12301204,6387
12301205,4990
12301206,5203
12302107,3080
12302108,14877
12302109,11714
12302110,10708
12302211,3291
12302212,5983
12304313,6756
12304314,9746
